N,Дата,Ліга,Ставка_на,Проти,Коеф,WS_Gap,P_Elo,Результат,WIN/LOSS,Банкрол_до,Стейк_$,PnL_$,Банкрол_$,Зміна_%,Загальний_ROI_%
1,2023-09-03,Primeira Liga,Sporting CP,SC Braga,2.1,89,0.568,DRAW,LOSS,1000.0,40.0,-40.0,960.0,-4.0,-4.0
2,2023-09-18,La Liga,Girona,Granada CF,2.4,94,0.604,AWAY,WIN,960.0,38.4,53.76,1013.76,5.6,1.4
3,2023-09-23,La Liga,Valencia,Almeria,2.45,94,0.606,DRAW,LOSS,1013.76,40.55,-40.55,973.21,-4.0,-2.7
4,2023-09-30,Bundesliga,VfB Stuttgart,1. FC Köln,2.45,92,0.641,AWAY,WIN,973.21,38.93,56.45,1029.66,5.8,3.0
5,2023-10-07,La Liga,Girona,Cadiz,2.2,92,0.614,AWAY,WIN,1029.66,41.19,49.43,1079.09,4.8,7.9
6,2023-10-08,Premier League,Aston Villa,Wolves,2.1,85,0.599,DRAW,LOSS,1079.09,43.16,-43.16,1035.93,-4.0,3.6
7,2023-10-08,Serie A,Atalanta,Lazio,2.5,99,0.572,HOME,LOSS,1035.93,41.44,-41.44,994.49,-4.0,-0.6
8,2023-10-21,Premier League,Arsenal,Chelsea,2.3,94,0.62,DRAW,LOSS,994.49,39.78,-39.78,954.71,-4.0,-4.5
9,2023-10-21,La Liga,Atletico Madrid,Celta Vigo,2.15,111,0.681,AWAY,WIN,954.71,38.19,43.92,998.63,4.6,-0.1
10,2023-10-29,Bundesliga,Borussia Dortmund,Eintracht Frankfurt,2.15,87,0.579,DRAW,LOSS,998.63,39.95,-39.95,958.68,-4.0,-4.1
11,2023-11-04,La Liga,Girona,Osasuna,2.4,100,0.668,AWAY,WIN,958.68,38.35,53.69,1012.37,5.6,1.2
12,2023-11-04,Premier League,Crystal Palace,Burnley,2.38,99,0.619,AWAY,WIN,1012.37,40.49,55.88,1068.25,5.5,6.8
13,2023-11-04,Premier League,Brighton,Everton,2.38,88,0.581,DRAW,LOSS,1068.25,42.73,-42.73,1025.52,-4.0,2.6
14,2023-11-05,Serie A,Monza,Hellas Verona,2.45,89,0.579,AWAY,WIN,1025.52,41.02,59.48,1085.0,5.8,8.5
15,2023-11-11,Premier League,Tottenham,Wolves,2.25,96,0.653,HOME,LOSS,1085.0,43.4,-43.4,1041.6,-4.0,4.2
16,2023-11-11,La Liga,Girona,Rayo Vallecano,2.25,100,0.611,AWAY,WIN,1041.6,41.66,52.07,1093.67,5.0,9.4
17,2023-11-12,Bundesliga,Eintracht Frankfurt,Werder Bremen,2.45,96,0.615,DRAW,LOSS,1093.67,43.75,-43.75,1049.92,-4.0,5.0
18,2023-11-26,Ligue 1,Lille,Lyon,2.38,121,0.644,AWAY,WIN,1049.92,42.0,57.96,1107.88,5.5,10.8
19,2023-12-02,La Liga,Real Sociedad,Osasuna,2.1,117,0.646,DRAW,LOSS,1107.88,44.32,-44.32,1063.56,-4.0,6.4
20,2023-12-02,Ligue 1,Nice,Nantes,2.15,109,0.678,HOME,LOSS,1063.56,42.54,-42.54,1021.02,-4.0,2.1
21,2023-12-03,Serie A,Bologna,Lecce,2.4,97,0.599,DRAW,LOSS,1021.02,40.84,-40.84,980.18,-4.0,-2.0
22,2023-12-03,Premier League,Aston Villa,Bournemouth,2.1,82,0.665,DRAW,LOSS,980.18,39.21,-39.21,940.97,-4.0,-5.9
23,2023-12-07,Premier League,Newcastle,Everton,2.35,93,0.601,HOME,LOSS,940.97,37.64,-37.64,903.33,-4.0,-9.7
24,2023-12-08,Ligue 1,Lens,Montpellier,2.15,123,0.607,DRAW,LOSS,903.33,36.13,-36.13,867.2,-4.0,-13.3
25,2023-12-09,La Liga,Real Sociedad,Villarreal,2.15,99,0.617,AWAY,WIN,867.2,34.69,39.89,907.09,4.6,-9.3
26,2023-12-11,Primeira Liga,Moreirense,GIL Vicente,2.2,106,0.644,DRAW,LOSS,907.09,36.28,-36.28,870.81,-4.0,-12.9
27,2023-12-16,Bundesliga,Borussia Dortmund,FC Augsburg,2.1,86,0.592,DRAW,LOSS,870.81,34.83,-34.83,835.98,-4.0,-16.4
28,2023-12-16,Ligue 1,Nice,Le Havre,2.1,120,0.672,HOME,LOSS,835.98,33.44,-33.44,802.54,-4.0,-19.7
29,2023-12-16,Premier League,Everton,Burnley,2.2,119,0.691,AWAY,WIN,802.54,32.1,38.52,841.06,4.8,-15.9
30,2023-12-16,Primeira Liga,Guimaraes,Boavista,2.2,102,0.647,DRAW,LOSS,841.06,33.64,-33.64,807.42,-4.0,-19.3
31,2023-12-17,Premier League,Aston Villa,Brentford,2.38,91,0.697,AWAY,WIN,807.42,32.3,44.57,851.99,5.5,-14.8
32,2023-12-21,Premier League,Brighton,Crystal Palace,2.25,95,0.589,DRAW,LOSS,851.99,34.08,-34.08,817.91,-4.0,-18.2
33,2023-12-23,Premier League,Bournemouth,Nottingham Forest,2.5,95,0.61,AWAY,WIN,817.91,32.72,49.08,866.99,6.0,-13.3
34,2023-12-23,Primeira Liga,Moreirense,Vizela,2.45,108,0.668,DRAW,LOSS,866.99,34.68,-34.68,832.31,-4.0,-16.8
35,2023-12-30,Serie A,Bologna,Udinese,2.2,96,0.667,HOME,LOSS,832.31,33.29,-33.29,799.02,-4.0,-20.1
36,2023-12-30,Premier League,Manchester United,Nottingham Forest,2.15,100,0.638,HOME,LOSS,799.02,31.96,-31.96,767.06,-4.0,-23.3
37,2024-01-04,La Liga,Athletic Club,Sevilla,2.45,107,0.703,AWAY,WIN,767.06,30.68,44.49,811.55,5.8,-18.8
38,2024-01-06,Serie A,Fiorentina,Sassuolo,2.15,115,0.693,HOME,LOSS,811.55,32.46,-32.46,779.09,-4.0,-22.1
39,2024-01-07,Serie A,Lazio,Udinese,2.3,90,0.555,AWAY,WIN,779.09,31.16,40.51,819.6,5.2,-18.0
40,2024-01-14,Premier League,Aston Villa,Everton,2.55,82,0.65,DRAW,LOSS,819.6,32.78,-32.78,786.82,-4.0,-21.3
41,2024-01-14,Serie A,Bologna,Cagliari,2.38,81,0.681,HOME,LOSS,786.82,31.47,-31.47,755.35,-4.0,-24.5
42,2024-01-20,La Liga,Real Sociedad,Celta Vigo,2.6,81,0.626,AWAY,WIN,755.35,30.21,48.34,803.69,6.4,-19.6
43,2024-01-21,Premier League,West Ham,Sheffield Utd,2.38,118,0.742,DRAW,LOSS,803.69,32.15,-32.15,771.54,-4.0,-22.8
44,2024-01-21,Serie A,Genoa,Salernitana,2.3,112,0.613,AWAY,WIN,771.54,30.86,40.12,811.66,5.2,-18.8
45,2024-01-28,La Liga,Girona,Celta Vigo,2.5,104,0.779,AWAY,WIN,811.66,32.47,48.7,860.36,6.0,-14.0
46,2024-01-28,Ligue 1,Le Havre,Lorient,2.5,89,0.637,DRAW,LOSS,860.36,34.41,-34.41,825.95,-4.0,-17.4
47,2024-01-28,Ligue 1,Strasbourg,Clermont Foot,2.45,100,0.614,DRAW,LOSS,825.95,33.04,-33.04,792.91,-4.0,-20.7
48,2024-01-28,Primeira Liga,Guimaraes,GIL Vicente,2.25,84,0.677,HOME,LOSS,792.91,31.72,-31.72,761.19,-4.0,-23.9
49,2024-02-02,Serie A,Fiorentina,Lecce,2.1,113,0.635,HOME,LOSS,761.19,30.45,-30.45,730.74,-4.0,-26.9
50,2024-02-03,Premier League,Tottenham,Everton,2.2,84,0.623,DRAW,LOSS,730.74,29.23,-29.23,701.51,-4.0,-29.8
51,2024-02-03,Premier League,Fulham,Burnley,2.4,88,0.619,DRAW,LOSS,701.51,28.06,-28.06,673.45,-4.0,-32.7
52,2024-02-03,Bundesliga,Eintracht Frankfurt,1. FC Köln,2.45,92,0.696,HOME,LOSS,673.45,26.94,-26.94,646.51,-4.0,-35.3
53,2024-02-03,Ligue 1,Lens,Nantes,2.1,112,0.635,AWAY,WIN,646.51,25.86,28.45,674.96,4.4,-32.5
54,2024-02-09,La Liga,Real Betis,Cadiz,2.5,83,0.678,AWAY,WIN,674.96,27.0,40.5,715.46,6.0,-28.5
55,2024-02-10,Serie A,Lazio,Cagliari,2.15,126,0.671,AWAY,WIN,715.46,28.62,32.91,748.37,4.6,-25.2
56,2024-02-10,Serie A,Torino,Sassuolo,2.3,101,0.653,DRAW,LOSS,748.37,29.93,-29.93,718.44,-4.0,-28.2
57,2024-02-17,Premier League,Aston Villa,Fulham,2.38,93,0.622,AWAY,WIN,718.44,28.74,39.66,758.1,5.5,-24.2
58,2024-02-18,Primeira Liga,Arouca,Casa Pia,2.6,93,0.626,HOME,LOSS,758.1,30.32,-30.32,727.78,-4.0,-27.2
59,2024-02-18,La Liga,Real Sociedad,Mallorca,2.6,86,0.605,AWAY,WIN,727.78,29.11,46.58,774.36,6.4,-22.6
60,2024-02-24,Serie A,Monza,Salernitana,2.25,102,0.685,AWAY,WIN,774.36,30.97,38.71,813.07,5.0,-18.7
61,2024-03-01,Serie A,AC Milan,Lazio,2.15,91,0.602,AWAY,WIN,813.07,32.52,37.4,850.47,4.6,-15.0
62,2024-03-01,Primeira Liga,Arouca,Chaves,2.15,99,0.624,AWAY,WIN,850.47,34.02,39.12,889.59,4.6,-11.0
63,2024-03-02,Bundesliga,FC Augsburg,SV Darmstadt 98,2.15,92,0.632,AWAY,WIN,889.59,35.58,40.92,930.51,4.6,-6.9
